,posted,miles,origin,dest,weight,shipper,time
0,16:57," 1,402 ","Ontario,CA","Flower Mound,TX","45,000","Knight-Swift Logistics, Phoenix, AZ",
1,16:48," 1,501 ","Oxnard,CA","Dallas,TX","38,000","Coyote Logistics Llc, Alpharetta, GA",
2,16:47," 1,423 ","City Of Indus,CA","Dallas,TX","26,000","Freight Runner Inc, Chino, CA",
3,16:43," 1,360 ","San Diego,CA","Lewisville,TX","25,000","PLS Logistics Services, Jacksonville, FL",
4,16:18," 1,390 ","San Bernardino,CA","Dallas,TX","19,000","JB Hunt Transport Services Inc, Lowell, AR",
5,16:13," 1,359 ","Boron,CA","Dallas,TX","41,000","Landstar Ranger, Houston, TX",
6,16:13," 1,359 ","Boron,CA","Dallas,TX","41,000","Landstar Ranger, Houston, TX",
7,16:02," 1,407 ","Fullerton,CA","Roanoke,TX","20,112","Uber Freight Llc, Chicago, IL",
8,15:54," 1,390 ","San Bernardino,CA","Dallas,TX",—,"Mid America Freight Logistics LLC, Fenton, MO",
9,15:38," 1,303 ","Beaumont,CA","Coppell,TX","28,000","Schneider National Inc, Green Bay, WI",
10,15:38," 1,303 ","Beaumont,CA","Coppell,TX","28,000","Schneider National Inc, Green Bay, WI",
11,15:38," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
12,15:38," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
13,15:38," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
14,15:37," 1,538 ","Ventura,CA","Terrell,TX","7,100","Pilot Truck Brokerage LLC, San Diego, CA",
15,15:37," 1,538 ","Ventura,CA","Terrell,TX","7,100","Pilot Truck Brokerage LLC, San Diego, CA",
16,15:33," 1,359 ","Boron,CA","Dallas,TX","41,503","Bnsf Logistics Llc, Chicago, IL",
