,posted,miles,origin,dest,weight,shipper,time
0,19:21," 1,390 ","San Bernardino,CA","Dallas,TX",—,"Mid America Freight Logistics LLC, Fenton, MO",
1,19:21," 1,359 ","Boron,CA","Dallas,TX","41,000","Landstar Ranger, Houston, TX",
2,19:21," 1,359 ","Boron,CA","Dallas,TX","41,000","Landstar Ranger, Houston, TX",
3,18:51," 1,501 ","Oxnard,CA","Dallas,TX","38,000","Coyote Logistics Llc, Alpharetta, GA",
4,18:41," 1,360 ","San Diego,CA","Lewisville,TX","25,000","PLS Logistics Services, Jacksonville, FL",
5,18:26," 1,390 ","San Bernardino,CA","Dallas,TX","19,000","JB Hunt Transport Services Inc, Lowell, AR",
6,18:01," 1,407 ","Fullerton,CA","Roanoke,TX","20,112","Uber Freight Llc, Chicago, IL",
7,18:00," 1,382 ","Moreno Valley,CA","Dallas,TX","9,672","Western Express Inc, Nashville, TN",
8,18:00," 1,382 ","Moreno Valley,CA","Dallas,TX","40,000","Western Express Inc, Nashville, TN",
9,17:36," 1,303 ","Beaumont,CA","Coppell,TX","28,000","Schneider National Inc, Green Bay, WI",
10,17:36," 1,303 ","Beaumont,CA","Coppell,TX","28,000","Schneider National Inc, Green Bay, WI",
11,17:36," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
12,17:36," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
13,17:36," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
14,17:36," 1,359 ","Boron,CA","Dallas,TX","41,503","Bnsf Logistics Llc, Chicago, IL",
15,16:55," 1,402 ","Ontario,CA","Flower Mound,TX","45,000","Knight-Swift Logistics, Phoenix, AZ",
16,15:35," 1,538 ","Ventura,CA","Terrell,TX","7,100","Pilot Truck Brokerage LLC, San Diego, CA",
